"Yes, the public can view businesses unless they are made private.";"Yes, the public can view businesses unless they are made private."
"No, the public cannot view businesses.";"No, the public cannot view businesses."

"Business Currency";"Business Currency"
"Please enter the currency you will be using for you business plugin.";"Please enter the currency you will be using for you business plugin."

"Listings Per Page";"Listings Per Page"
"How many business listings will be shown per page? (Enter a number between 1 and 999)";"How many business listings will be shown per page? (Enter a number between 1 and 999)"
"No identifier specified";"No identifier specified"
"Your changes were saved. Click %s to view your listing.";"Your changes were saved. Click %s to view your listing."
"Delete Business Category?";"Delete Business Category?"

"Location";"Location"
"Price";"Price"

"Businesses Plugin";"Businesses Plugin"

"Allow Commenting on Businesses?";"Allow Commenting on Businesses?"
"Do you want to let members of this level comment on businesses?";"Do you want to let members of this level comment on businesses?"
"Yes, allow members to comment on businesses.";"Yes, allow members to comment on businesses."
"No, do not allow members to comment on businesses.";"No, do not allow members to comment on businesses."
"Enter the maximum number of allowed businesses. The field must contain an integer, use zero for unlimited.";"Enter the maximum number of allowed businesses. The field must contain an integer, use zero for unlimited."

"Profile Businesses";"Profile Businesses"

"Business Main Navigation Menu";"Business Main Navigation Menu"
"Business Quick Navigation Menu";"Business Quick Navigation Menu"
"Business Gutter Navigation Menu";"Business Gutter Navigation Menu"


# action types
"{item:$subject} posted a new business listing:";"{item:$subject} posted a new business listing:"
"{item:$subject} commented on {item:$owner}'s {item:$object:business listing}.";"{item:$subject} commented on {item:$owner}'s {item:$object:business listing}."


# item types
"ITEM_TYPE_BIZLIST";"Businesses"
"ITEM_TYPE_BIZLIST_ALBUM";"Business Albums"


# notification types
"{item:$subject} has commented on your {item:$object:business listing}.";"{item:$subject} has commented on your {item:$object:business listing}."
"{item:$subject} likes your {item:$object:business listing}.";"{item:$subject} likes your {item:$object:business listing}."
"{item:$subject} has commented on a {item:$object:business listing} you commented on.";"{item:$subject} has commented on a {item:$object:business listing} you commented on."
"{item:$subject} has commented on a {item:$object:business listing} you liked.";"{item:$subject} has commented on a {item:$object:business listing} you liked."

"Only Businesses With Photos";"Only Businesses With Photos"
"Are you sure you want to delete this business listing?";"Are you sure you want to delete this business listing?"
"Delete Business Listing";"Delete Business Listing"
"Business listing doesn't exist or not authorized to delete";"Business listing doesn't exist or not authorized to delete"
"Your business listing has been deleted.";"Your business listing has been deleted."
"Popular Businesses";"Popular Businesses"
"Recent Businesses";"Recent Businesses"
"bizlist";"Business Listing";"Business Listings"
"Edit Category";"Edit Category"
"Here, you can edit the category title. If you do want to change the parent category then do not choose any category from the parent category dropdown.";"Here, you can edit the category title. If you do want to change the parent category then do not choose any category from the parent category dropdown."


"{item:$subject} has rated your business {item:$object}.";"{item:$subject} has rated your business {item:$object}."
"ACTIVITY_TYPE_BIZLIST_RATING";"When someone rated my business"

# NOTIFY_bizlist_RATING
"_EMAIL_NOTIFY_BIZLIST_RATING_TITLE";"Business Rating"
"_EMAIL_NOTIFY_BIZLIST_RATING_DESCRIPTION";"This email is sent to the member when someone given rating their business."
"_EMAIL_NOTIFY_BIZLIST_RATING_SUBJECT";"[sender_title] rated your business [object_title]"
"_EMAIL_NOTIFY_BIZLIST_RATING_BODY";"[header]

'[sender_title]' rated your business '[object_title]'.
Please click the following link to view it:

http://[host][object_link]

[footer]"
